Date,Open,High,Low,Close,Volume,Adusted Close
1999-03-21,16.64,16.64,16.64,16.64,0.0,
1999-03-28,16.51,16.51,16.51,16.51,0.0,
1999-04-04,16.49,16.49,16.49,16.49,0.0,
1999-04-11,16.6,16.6,16.6,16.6,0.0,
1999-04-18,17.47,17.47,17.47,17.47,0.0,
1999-04-25,17.82,17.82,17.82,17.82,0.0,
1999-05-02,18.14,18.14,18.14,18.14,0.0,
1999-05-09,18.49,18.49,18.49,18.49,0.0,
1999-05-16,18.8,18.8,18.8,18.8,0.0,
1999-05-23,19.24,19.24,19.24,19.24,0.0,
1999-05-30,18.99,18.99,18.99,18.99,0.0,
1999-06-06,19.1,19.1,19.1,19.1,0.0,
1999-06-13,19.06,19.06,19.06,19.06,0.0,
1999-06-20,19.32,19.32,19.32,19.32,0.0,
1999-06-27,19.43,19.43,19.43,19.43,0.0,
1999-07-04,20.19,20.19,20.19,20.19,0.0,
1999-07-11,20.35,20.35,20.35,20.35,0.0,
1999-07-18,20.66,20.66,20.66,20.66,0.0,
1999-07-25,20.11,20.11,20.11,20.11,0.0,
1999-08-01,20.06,20.06,20.06,20.06,0.0,
1999-08-08,19.54,19.54,19.54,19.54,0.0,
1999-08-15,19.76,19.76,19.76,19.76,0.0,
1999-08-22,19.8,19.8,19.8,19.8,0.0,
1999-08-29,19.68,19.68,19.68,19.68,0.0,
1999-09-05,19.77,19.77,19.77,19.77,0.0,
1999-09-12,19.98,19.98,19.98,19.98,0.0,
1999-09-19,19.73,19.73,19.73,19.73,0.0,
1999-09-26,18.86,18.86,18.86,18.86,0.0,
1999-10-03,18.88,18.88,18.88,18.88,0.0,
1999-10-10,18.82,18.82,18.82,18.82,0.0,
1999-10-17,18.29,18.29,18.29,18.29,0.0,
1999-10-24,18.24,18.24,18.24,18.24,0.0,
1999-10-31,18.34,18.34,18.34,18.34,0.0,
1999-11-07,18.73,18.73,18.73,18.73,0.0,
1999-11-14,19.03,19.03,19.03,19.03,0.0,
1999-11-21,19.44,19.44,19.44,19.44,0.0,
1999-11-28,19.31,19.31,19.31,19.31,0.0,
1999-12-05,19.33,19.33,19.33,19.33,0.0,
1999-12-12,19.19,19.19,19.19,19.19,0.0,
1999-12-19,19.14,19.14,19.14,19.14,0.0,
1999-12-26,17.83,17.83,17.83,17.83,0.0,
2000-01-02,18.57,18.57,18.57,18.57,0.0,
2000-01-09,18.37,18.37,18.37,18.37,0.0,
2000-01-16,18.87,18.87,18.87,18.87,0.0,
2000-01-23,19.33,19.33,19.33,19.33,0.0,
2000-01-30,18.63,18.63,18.63,18.63,0.0,
2000-02-06,19.1,19.1,19.1,19.1,0.0,
2000-02-13,19.24,19.24,19.24,19.24,0.0,
2000-02-20,19.47,19.47,19.47,19.47,0.0,
2000-02-27,19.48,19.48,19.48,19.48,0.0,
2000-03-05,20.64,20.64,20.64,20.64,0.0,
2000-03-12,20.73,20.73,20.73,20.73,0.0,
2000-03-19,20.49,20.49,20.49,20.49,0.0,
2000-03-26,20.7,20.7,20.7,20.7,0.0,
2000-04-02,20.2,20.2,20.2,20.2,0.0,
